Model,ARIMA_Order,Diffs,Mod_Order,Trend,Intercept,Date,Fourier,Fourier_m,Fourier_k,BoxCox,Log,Scored,AIC,RMSE,RMSE%,SMAPE,CV_Time
0,"(0, 0, 0)",0,0,c,True,True,False,,,False,False,False,,,,,
1,"(0, 0, 0)",0,0,t,True,True,False,,,False,False,False,,,,,
2,"(0, 0, 0)",0,0,ct,True,True,False,,,False,False,False,,,,,
3,"(0, 0, 1)",0,1,c,True,True,False,,,False,False,False,,,,,
4,"(0, 0, 1)",0,1,t,True,True,False,,,False,False,False,,,,,
5,"(0, 0, 1)",0,1,ct,True,True,False,,,False,False,False,,,,,
6,"(1, 0, 0)",0,1,c,True,True,False,,,False,False,False,,,,,
7,"(1, 0, 0)",0,1,t,True,True,False,,,False,False,False,,,,,
8,"(1, 0, 0)",0,1,ct,True,True,False,,,False,False,False,,,,,
9,"(0, 1, 0)",1,0,c,True,True,False,,,False,False,False,,,,,
10,"(0, 1, 0)",1,0,t,True,True,False,,,False,False,False,,,,,
11,"(0, 1, 0)",1,0,ct,True,True,False,,,False,False,False,,,,,
12,"(0, 1, 1)",1,1,c,True,True,False,,,False,False,False,,,,,
13,"(0, 1, 1)",1,1,t,True,True,False,,,False,False,False,,,,,
14,"(0, 1, 1)",1,1,ct,True,True,False,,,False,False,False,,,,,
15,"(1, 1, 0)",1,1,c,True,True,False,,,False,False,False,,,,,
16,"(1, 1, 0)",1,1,t,True,True,False,,,False,False,False,,,,,
17,"(1, 1, 0)",1,1,ct,True,True,False,,,False,False,False,,,,,
